,streak_id,x,y,area,perimeter,corner_x,corner_y,bbox_width,bbox_height,angle,frame,width,height,slope
5,5.0,1605.7274249209336,291.8596800443346,801.9766194063122,194.32005661088164,1560.3191929432144,285.5186709543714,91.94356467897524,13.577723358167475,-2.9224381634660634,0.0,86.8587527299265,0.8955831287501501,4.848852199267942e-05
16,17.0,774.7084751461098,562.3643868362515,736.9285797149059,182.22683721870004,730.9505984160947,555.972993354756,86.78933368484172,12.78219821734308,-2.0313612302523207,0.0,87.18950169559342,9.356714308777201,-0.004801904328986301
17,18.0,1859.1684631016742,580.2432799239572,769.439514489146,195.15504905306676,1812.8491168373323,573.9357833228173,93.0504825684161,13.533153440128899,-2.874965939348809,0.0,94.75838820104947,8.920402099738855,-0.003138393173342269
18,19.0,915.4280691529893,605.9969427001386,950.9614696336212,201.43961650092925,868.69544917481,598.4855527733993,94.66587790233484,17.240834210008416,-4.028475806943378,0.0,95.03711434167165,7.643026488045377,-0.002433769528539819
21,22.0,949.4341057661139,778.6254878173636,670.1293291784241,204.97168375541105,898.7794792308953,773.7516457467264,98.57391591843225,10.293070083354678,-1.8488817588325461,0.0,100.37560040312465,6.9366890254024725,-0.003254508870219695
25,26.0,175.14740948443483,898.4971175981433,867.79578967837,217.24063855284697,122.29970091447711,891.6487695291374,103.84777423869056,13.098497881273488,-2.579036542290963,0.0,101.02362746113408,5.236220427821607,-0.0037915711725086763
31,32.0,1328.9925285332924,1133.8029454148536,1325.7175369177712,228.42148007287682,1275.4283218445673,1125.3549542897426,106.43840555050019,17.249896289693197,-2.132790343212154,0.0,102.82931893026802,7.016304396540531,-0.004021785826581585
33,34.0,421.63304382057987,1161.1180153896294,926.7355136069818,224.3463938661004,367.991276495781,1153.6581933066032,106.80749104053677,14.637381733169832,-3.3176476449195142,0.0,102.98416951567957,4.734471345197079,-0.002315395253308905
34,35.0,1924.052039457889,1165.9778352087833,489.38999948231503,203.1082401570199,1874.2344756194498,1161.1406252657507,99.4516353285569,10.406316294864382,-3.384792778623056,0.0,106.4288994020472,5.299001132952322,-0.0032182195456434103
35,36.0,197.81935192714332,1205.8947138917142,599.7592547831737,211.24398565043236,145.71267424966024,1200.7383872094742,102.90595342471158,9.472564759912075,-2.392760510712828,0.0,102.62562020762174,4.026211830576096,-0.002744518468795639
38,39.0,1011.8187642979314,1527.3767586608828,643.5295963914832,219.01091149998695,958.2053657100324,1522.5748263480402,106.50695164120918,9.325156770265949,-1.7810857024735631,0.0,107.22679521892664,6.746402345664742,-0.002220910276316968
39,40.0,1428.9306799443198,1544.9938703022983,750.1369738869835,226.8192756195756,1374.5906123554898,1538.8483230946738,109.51289776716271,12.234375623021833,-2.763633127652341,0.0,105.58371726731681,3.9579406695567876,-0.0002326400887494191
47,48.0,652.9564747140934,1741.9832090960904,754.5217751589371,228.5770833314998,597.6610751554738,1736.5035147109234,110.45999074922042,11.966832256794305,-2.442670829734317,0.0,102.4214722026967,5.38265325203452,-0.007042100451747933
49,50.0,856.9388583038211,1873.7777805549897,1159.404470971669,233.4936839770068,802.262974607309,1866.5671515279957,108.58622887304102,15.241206985863528,-1.6622304752512556,0.0,107.43833191549795,8.902786844905183,-0.0007334449679035169
50,51.0,1645.6297006966088,1938.7305782782366,691.8520483111497,221.0034640146767,1593.5336078929208,1933.2431640632099,107.46996332764274,11.7628565432708,-3.3298530999718245,0.0,106.73530599394691,9.986430726751662,0.0006459901344445893
